value,   feasible,   frequency, time, iteration
4074.0,False,3.0,0.9187262058258057,0
16892.0,False,1.0,0.9187262058258057,0
4074.0,False,1.0,0.9187262058258057,0
16236.0,False,2.0,0.9187262058258057,0
4752.0,False,6.0,0.9187262058258057,0
23950.0,False,1.0,0.9187262058258057,0
14650.0,False,6.0,0.9187262058258057,0
12772.0,False,1.0,0.9187262058258057,0
15580.0,False,2.0,0.9187262058258057,0
1974.0,False,1.0,0.9187262058258057,0
20710.0,False,1.0,0.9187262058258057,0
22960.0,False,4.0,0.9187262058258057,0
40788.0,False,6.0,0.9187262058258057,0
15950.0,False,4.0,0.9187262058258057,0
36798.0,False,1.0,0.9187262058258057,0
1392.0,False,2.0,0.9187262058258057,0
0.0,False,3.0,0.9187262058258057,0
11536.0,False,5.0,0.9187262058258057,0
1968.0,False,2.0,0.9187262058258057,0
14384.0,False,3.0,0.9187262058258057,0
22960.0,False,5.0,0.9187262058258057,0
19824.0,False,6.0,0.9187262058258057,0
18770.0,False,3.0,0.9187262058258057,0
15908.0,False,2.0,0.9187262058258057,0
40788.0,False,4.0,0.9187262058258057,0
2352.0,False,1.0,0.9187262058258057,0
8930.0,False,1.0,0.9187262058258057,0
21948.0,False,9.0,0.9187262058258057,0
17876.0,False,1.0,0.9187262058258057,0
8446.0,False,4.0,0.9187262058258057,0
14738.0,False,2.0,0.9187262058258057,0
1392.0,False,6.0,0.9187262058258057,0
81576.0,False,13.0,0.9187262058258057,0
12298.0,False,7.0,0.9187262058258057,0
50930.0,False,12.0,0.9187262058258057,0
20636.0,False,2.0,0.9187262058258057,0
34268.0,False,2.0,0.9187262058258057,0
22504.0,False,9.0,0.9187262058258057,0
23316.0,False,1.0,0.9187262058258057,0
47238.0,False,2.0,0.9187262058258057,0
21300.0,False,3.0,0.9187262058258057,0
19824.0,False,2.0,0.9187262058258057,0
1140.0,False,4.0,0.9187262058258057,0
12848.0,False,3.0,0.9187262058258057,0
26800.0,False,3.0,0.9187262058258057,0
19570.0,False,1.0,0.9187262058258057,0
40788.0,False,2.0,0.9187262058258057,0
14240.0,False,3.0,0.9187262058258057,0
0.0,False,2.0,0.9187262058258057,0
36966.0,False,2.0,0.9187262058258057,0
23158.0,False,1.0,0.9187262058258057,0
0.0,False,6.0,0.9187262058258057,0
